analysis_id,u3ylx7ogq6mvwzb
gene_symbol,Ints7
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
pvalue,0.890335
parameter_name,Embryo turning
gene_accession_id,MGI:1924315
mouse_strain,C57BL
