mouse_strain,C57BL
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
analysis_id,h9gu5181ltl18d2
gene_symbol,Bach2
pvalue,0.5622987
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
