gene_symbol,Tbl1xr1
analysis_id,34wbz3w473b9o5i
mouse_life_stage,Late adult
pvalue,0.6814214
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:2441730
mouse_strain,C57BL
parameter_name,center - resting time
