analysis_id,lc59b9812h623nu
parameter_name,Embryo turning
gene_accession_id,MGI:1336200
mouse_strain,C57BL
pvalue,0.7627435
gene_symbol,Hpca
mouse_life_stage,Late adult
parameter_id,IMPC_GEL_011_001
