analysis_id,m69ql8s16j97rq2
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,IMPC_DXA_006_001
pvalue,0.932922
parameter_name,Body length
