analysis_id,9ur563y42w74bs9
mouse_strain,C57BL
parameter_name,lens opacity
gene_symbol,Arnt
gene_accession_id,MGI:88071
pvalue,0.1829046
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
