analysis_id,wa7t4s74t190hzt
mouse_strain,C57BL
pvalue,0.3874821
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:1346088
parameter_id,MGP_MLN_063_001
gene_symbol,Cd52
mouse_life_stage,Early adult
