analysis_id,0t69e822t3v1847
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
mouse_strain,C57BL
parameter_name,Hindpaw - size
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_041_002
pvalue,0.6910015
