mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_id,JAXLA_CSD_039_001
pvalue,0.8379911
gene_accession_id,MGI:1923959
analysis_id,7jd1fmp1i4s0w5v
parameter_name,Limb grasp
