analysis_id,037ud1m5tlx3o5i
parameter_id,HMGULA_CBC_003_001
gene_accession_id,MGI:1921688
pvalue,0.7979139
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Clvs1
parameter_name,Chloride
