analysis_id,n463a14x109p47p
mouse_life_stage,Early adult
gene_symbol,Mov10
pvalue,0.7530125
parameter_name,Periphery average speed
gene_accession_id,MGI:97054
parameter_id,JAX_OFD_013_001
mouse_strain,C57BL
