analysis_id,72j10o2b20v1wmc
pvalue,0.490466
gene_accession_id,MGI:1332236
gene_symbol,Cds2
parameter_name,Retina (combined)
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_001
