parameter_name,Total food intake
mouse_strain,C57BL
parameter_id,IMPC_CAL_008_001
analysis_id,t49849682979825
gene_accession_id,MGI:1929866
pvalue,0.1648708
mouse_life_stage,Early adult
gene_symbol,Rgs20
