gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_name,Tibia length
analysis_id,91y6109318v226k
pvalue,0.6898798
parameter_id,IMPC_XRY_033_001
