parameter_name,Hindpaw - size
mouse_strain,C57BL
pvalue,0.5179235
analysis_id,p75r4o78qo89iwm
gene_accession_id,MGI:1346088
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Early adult
gene_symbol,Cd52
