analysis_id,v2q0nu55x5a35tu
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_026_001
pvalue,0.5227135
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:1916222
mouse_strain,C57BL
gene_symbol,Tatdn3
