parameter_id,ESLIM_011_001_705
mouse_life_stage,Late adult
parameter_name,Global prepulse inhibition
gene_accession_id,MGI:2140475
analysis_id,cz119o5400pzsy3
gene_symbol,AU040320
mouse_strain,C57BL
pvalue,0.161539
