parameter_name,Lumbar processes
gene_accession_id,MGI:3046938
analysis_id,87uj58q84nfurdm
parameter_id,IMPC_XRY_065_001
mouse_life_stage,Early adult
gene_symbol,Hrnr
mouse_strain,C57BL
pvalue,0.8715959
