parameter_name,Cholesterol ratio
pvalue,0.1054847
analysis_id,m8sqgv8s3785m51
gene_symbol,Gfi1b
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
gene_accession_id,MGI:1276578
