gene_symbol,Extl1
analysis_id,kcq141262849eb9
gene_accession_id,MGI:1888742
parameter_id,HMGULA_SHI_009_001
mouse_strain,C57BL
pvalue,0.4163417
mouse_life_stage,Early adult
parameter_name,Startle response
