gene_symbol,Trdmt1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
parameter_id,IMPC_IMM_063_001
analysis_id,5x2971b56bdmf8j
parameter_name,B Cells
pvalue,0.7112804
