gene_symbol,Usp37
mouse_life_stage,Early adult
analysis_id,pq7m607ak061mzj
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:2442483
mouse_strain,C57BL
parameter_name,Tibia length
pvalue,0.4616178
