analysis_id,4b71n1z974pclh0
gene_symbol,Zyg11b
pvalue,1.387563
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_id,CCP_LFO_001_001
parameter_name,Weight
