gene_symbol,Rhbg
parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
analysis_id,o1a33sgvq6a8839
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1476048
gene_accession_id,MGI:1927379
