gene_symbol,Cd52
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
analysis_id,5ms79z9xi3tow52
mouse_strain,C57BL
pvalue,0.5954781
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
