gene_symbol,Ahctf1
pvalue,0.05301054
parameter_name,ST
analysis_id,wou2u9ckgj880hu
mouse_strain,C57BL
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
