analysis_id,80701tm3qgyaxtj
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:1346088
pvalue,0.2357647
parameter_name,Center permanence time
mouse_life_stage,Early adult
gene_symbol,Cd52
mouse_strain,C57BL
