parameter_name,Whole arena resting time
parameter_id,IMPC_OFD_007_001
gene_symbol,Atrn
pvalue,0.5927211
analysis_id,8irp0230fpd80r2
mouse_strain,C57BL
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
