gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_MLN_067_001
analysis_id,6i65voy59o43098
pvalue,0.5902503
