parameter_name,Shape of ribcage
mouse_life_stage,Early adult
gene_symbol,Slx4ip
mouse_strain,C57BL
pvalue,0.6727781
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:1921493
analysis_id,6vpl0aa3hrbf316
