gene_symbol,Nr0b2
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.4671592
gene_accession_id,MGI:1346344
parameter_id,JAX_OFD_015_001
analysis_id,z0xab0npe0sgt76
parameter_name,Center resting time
