analysis_id,4ie5596st557q5v
mouse_strain,C57BL
parameter_name,Dark side time spent
pvalue,0.9608315
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
gene_symbol,Bmi1
parameter_id,JAX_LDT_004_001
