analysis_id,0s1078y44w3evt8
mouse_strain,C57BL
pvalue,0.1182007
gene_accession_id,MGI:1923959
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Early adult
parameter_name,Humerus
gene_symbol,Arpc2
