gene_symbol,Hrnr
parameter_id,IMPC_EYE_026_001
gene_accession_id,MGI:3046938
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1623215
parameter_name,Retinal Blood Vessels Pattern
analysis_id,57bnt0iw6q982xr
