parameter_name,Pericardium Morphology
mouse_strain,C57BL
gene_symbol,Slc28a2
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:1913105
pvalue,1.423695
analysis_id,5r5h6j060eid2k8
