parameter_name,NKT cells (panel A)
gene_symbol,Exd1
mouse_strain,C57BL
gene_accession_id,MGI:3045306
pvalue,0.6833733
parameter_id,IMPC_IMM_004_001
analysis_id,6108c3j8j28642o
mouse_life_stage,Early adult
