analysis_id,0suq1v6j2v7wjg2
mouse_life_stage,E18.5
parameter_id,MGP_MLN_009_001
mouse_strain,C57BL
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
pvalue,0.2928738
parameter_name,Effector Treg cells - % of Treg
