gene_symbol,Ncaph
parameter_id,GMC_906_001_005
parameter_name,Potassium
analysis_id,qq7w3ny44k17354
mouse_strain,C57BL
gene_accession_id,MGI:2444777
pvalue,0.1887617
mouse_life_stage,Early adult
