parameter_name,Platelet count
analysis_id,086r1zo1pm28b1j
mouse_life_stage,Early adult
pvalue,0.2555523
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
