analysis_id,z2dv221w6v72y02
parameter_id,JAX_OFD_016_001
pvalue,0.6950551
mouse_life_stage,Early adult
gene_symbol,Ap5s1
mouse_strain,C57BL
gene_accession_id,MGI:1916846
parameter_name,Center permanence time
