parameter_name,Caudal processes
pvalue,1.189722
analysis_id,9880oet35ru6u3n
gene_symbol,AU040320
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
