Gene_symbol,Tubb4b
Parameter_name,Weight
Mouse_life_stage,Early adult
Analysis_id,983838g50p98co2
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1915472
pvalue,0.2329996
