parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
pvalue,0.3059384
mouse_strain,C57BL
analysis_id,crq39nn6483453w
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
