gene_symbol,Kif24
mouse_life_stage,Early adult
pvalue,0.9511137
gene_accession_id,MGI:1918345
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
analysis_id,i86m2y2d2mgdhjr
