analysis_id,26j98qklw1b6b17
gene_accession_id,MGI:88174
parameter_name,Latency to center entry
pvalue,0.8136361
parameter_id,IMPC_OFD_018_001
gene_symbol,Bmi1
mouse_life_stage,E15.5
mouse_strain,C57BL
