gene_symbol,Opn3
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1338022
parameter_id,MGP_MLN_093_001
mouse_strain,C57BL
pvalue,0.4074344
mouse_life_stage,Early adult
analysis_id,6t7r3uyu7u1s094
