parameter_name,Distance travelled - total
pvalue,0.6702068
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:97838
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,9dk9sjvu5b5a19k
gene_symbol,Eprs1
