analysis_id,4u588i9p100r4y1
parameter_id,MGP_IMM_130_001
gene_accession_id,MGI:2444113
parameter_name,CD11b-low cDC - % of CD45+
mouse_strain,C57BL
pvalue,0.9693437
gene_symbol,Nemp2
mouse_life_stage,Early adult
