parameter_name,NK Subsets (Q1)
analysis_id,uo5632q71845ivn
gene_accession_id,MGI:2446274
parameter_id,IMPC_IMM_054_001
pvalue,0.3565556
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
mouse_strain,C50BL
