parameter_name,Vitreous
mouse_strain,C57BL
gene_accession_id,MGI:1924360
analysis_id,3948195te62jyke
pvalue,0.1956884
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_083_001
