parameter_name,Mean cell volume
parameter_id,IMPC_HEM_005_001
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
pvalue,0.8320084
gene_symbol,Zmynd8
analysis_id,pqg50484oj1bz6w
mouse_strain,129SV
