parameter_name,DN CD44+CD62L+ NKT cells
mouse_life_stage,Early adult
analysis_id,4plg6n332of2827
pvalue,0.1705391
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
