analysis_id,2d199135j9vis0y
mouse_strain,C57BL
parameter_id,MGP_PBI_038_001
parameter_name,Ly6Clow monocyte number
pvalue,0.2231916
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
