gene_symbol,Dnajc8
mouse_life_stage,Early adult
pvalue,0.9800423
parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
gene_accession_id,MGI:1915848
analysis_id,6c43280b74039hs
mouse_strain,C57BL
