parameter_name,Placenta Size
pvalue,0.5720497
gene_accession_id,MGI:99605
analysis_id,0h3h7821599xlh1
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_GPP_004_001
gene_symbol,Cntfr
