analysis_id,5w8krh576491x87
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_name,Resting Treg cells - % of Treg
pvalue,0.0780882
parameter_id,MGP_MLN_010_001
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
