parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1914071
analysis_id,7r9vxk9bve9r013
mouse_strain,C57BL
pvalue,0.258168
gene_symbol,Bcs1l
mouse_life_stage,E12.5
parameter_id,HRWLLA_CBC_014_001
