gene_symbol,Kdm5b
mouse_strain,C57BL
analysis_id,r92729hi70g7ny5
mouse_life_stage,Early adult
pvalue,0.8284089
gene_accession_id,MGI:1922855
parameter_name,Coat - color pattern - back
parameter_id,IMPC_CSD_008_001
