gene_symbol,Cpa3
mouse_strain,C57BL
pvalue,0.1037097
parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:88479
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,Early adult
analysis_id,6r6k083o7lo4b2n
