analysis_id,97h580ghnp5ue31
pvalue,0.2913259
gene_symbol,Steap3
parameter_id,MGP_IMM_101_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1915678
mouse_strain,C57BL
