gene_symbol,Tubb4b
pvalue,0.1802139
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,q915zwgs18c5q49
parameter_name,Ly6Clow monocyte number
gene_accession_id,MGI:1915472
