parameter_name,Fructosamine
gene_accession_id,MGI:1913483
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,i0k7xxse1i25i83
gene_symbol,Dmap1
pvalue,0.375586
parameter_id,IMPC_CBC_020_001
