gene_symbol,Ddx27
parameter_name,Limb coat/hair presence
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
parameter_id,MGP_CSD_030_001
pvalue,0.1769444
analysis_id,nz6te7p30v4m7x7
mouse_strain,129SV
