analysis_id,75oz9io2ew11276
mouse_life_stage,Early adult
parameter_name,Total T cells - % of CD45+
parameter_id,MGP_IMM_001_001
gene_symbol,Atf3
pvalue,0.5015907
mouse_strain,C57BL
gene_accession_id,MGI:109384
